Nuclide,N,Z,A,El,Atomic Mass
n-1,1,0,1,n,1.008664.9159
H-1,0,1,1,H,1.007825.03190
H-2,1,1,2,H,2.014101.77784
H-3,2,1,3,H,3.016049.28132
He-3,1,2,3,He,3.016029.32197
Li-3,0,3,3,Li,3.030780
H-4,3,1,4,H,4.026430
He-4,2,2,4,He,4.002603.25413
Li-4,1,3,4,Li,4.027190
H-5,4,1,5,H,5.035310
He-5,3,2,5,He,5.012057
Li-5,2,3,5,Li,5.012540
Be-5,1,4,5,Be,5.039870
H-6,5,1,6,H,6.044960
He-6,4,2,6,He,6.018885.89
Li-6,3,3,6,Li,6.015122.8874
Be-6,2,4,6,Be,6.019726
B-6,1,5,6,B,6.050800
H-7,6,1,7,H,7.052750
He-7,5,2,7,He,7.027991
Li-7,4,3,7,Li,7.016003.434
Be-7,3,4,7,Be,7.016928.71
B-7,2,5,7,B,7.029712
He-8,6,2,8,He,8.033934.39
Li-8,5,3,8,Li,8.022486.24
Be-8,4,4,8,Be,8.005305.10
B-8,3,5,8,B,8.024607.3
C-8,2,6,8,C,8.037643
He-9,7,2,9,He,9.043950
Li-9,6,3,9,Li,9.026790.19
Be-9,5,4,9,Be,9.012183.06
B-9,4,5,9,B,9.013329.6
C-9,3,6,9,C,9.031037.2
He-10,8,2,10,He,10.052820
Li-10,7,3,10,Li,10.035483
Be-10,6,4,10,Be,10.013534.69
B-10,5,5,10,B,10.012936.862
C-10,4,6,10,C,10.016853.22
N-10,3,7,10,N,10.041650
Li-11,8,3,11,Li,11.043723.6
Be-11,7,4,11,Be,11.021661.08
B-11,6,5,11,B,11.009305.167
C-11,5,6,11,C,11.011432.60
N-11,4,7,11,N,11.026158
O-11,3,8,11,O,11.051250
Li-12,9,3,12,Li,12.052610
Be-12,8,4,12,Be,12.026922.1
B-12,7,5,12,B,12.014352.6
C-12,6,6,12,C,12.000000.0
N-12,5,7,12,N,12.018613.2
O-12,4,8,12,O,12.034368
Li-13,10,3,13,Li,13.061170
Be-13,9,4,13,Be,13.036135
B-13,8,5,13,B,13.017780.0
C-13,7,6,13,C,13.003354.83534
N-13,6,7,13,N,13.005738.61
O-13,5,8,13,O,13.024815
F-13,4,9,13,F,13.045120
Be-14,10,4,14,Be,14.042890
B-14,9,5,14,B,14.025404
C-14,8,6,14,C,14.003241.989
N-14,7,7,14,N,14.003074.00425
O-14,6,8,14,O,14.008596.706
F-14,5,9,14,F,14.034320
Be-15,11,4,15,Be,15.053490
B-15,10,5,15,B,15.031087
C-15,9,6,15,C,15.010599.3
N-15,8,7,15,N,15.000108.8983
O-15,7,8,15,O,15.003065.6
F-15,6,9,15,F,15.017785
