,Nuclide,half_life,unit,Type,f_1,dcf_1muAMAD,dcf_5muAMAD,f1_ing,dcf_ingestion
0,Mg-27,9.462, m,F,0.5,7.7e-12,1.3e-11,0.5,2.1e-11
1,Mg-27,9.462, m,M,0.5,1.1e-11,1.8e-11,,
2,Al-28,2.2414, m,F,0.01,3.2e-12,5.3e-12,0.01,9.9e-12
3,Al-28,2.2414, m,M,0.01,3.6e-12,6e-12,,
4,Al-29,6.56, m,F,0.01,6.9e-12,1.2e-11,0.01,2.1e-11
5,Al-29,6.56, m,M,0.01,9.1e-12,1.5e-11,,
6,P-30,2.498, m,F,0.8,3.4e-12,5.5e-12,0.8,1.2e-11
7,P-30,2.498, m,M,0.8,3.9e-12,6.3e-12,,
8,P-30,2.498, m,S,0.8,3.9e-12,6.4e-12,,
9,S-37_inorg,5.05, m,F,0.8,6.4e-12,1.1e-11,0.8,1.6e-11
10,S-37_inorg,5.05, m,M,0.8,7.9e-12,1.4e-11,0.1,1.6e-11
11,S-38_inorg,170.3, m,F,0.8,1.4e-10,2.4e-10,0.8,4.3e-10
12,S-38_inorg,170.3, m,M,0.8,2.5e-10,3.6e-10,0.1,6.4e-10
13,Cl-34m,32.00, m,F,1.0,2.9e-11,5.1e-11,1.0,1e-10
14,Cl-34m,32.00, m,M,1.0,4.6e-11,7.5e-11,1.0,
15,Cl-40,1.35, m,F,1.0,2.6e-12,4.4e-12,1.0,8.5e-12
16,Cl-40,1.35, m,M,1.0,2.8e-12,4.8e-12,,
17,K-38,7.636, m,F,1.0,1e-11,1.8e-11,1.0,3.3e-11
18,Ca-49,8.718, m,M,0.3,1.8e-11,3e-11,0.3,3.9e-11
19,Ti-51,5.76, m,F,0.01,5.1e-12,8.5e-12,0.01,1.5e-11
20,Ti-51,5.76, m,M,0.01,6.8e-12,1.1e-11,,
21,Ti-51,5.76, m,S,0.01,6.9e-12,1.1e-11,,
22,V-50,15.7, y,F,0.01,8.4e-08,9.9e-08,0.01,4.2e-09
23,V-50,15.7, y,M,0.01,3.5e-08,2.5e-08,,
24,V-52,3.743, m,F,0.01,4.6e-12,7.7e-12,0.01,1.4e-11
25,V-52,3.743, m,M,0.01,5.6e-12,9.3e-12,,
26,V-53,1.61, m,F,0.01,2.1e-12,3.5e-12,0.01,5.7e-12
27,V-53,1.61, m,M,0.01,2.3e-12,3.9e-12,,
28,Cr-55,3.497, m,F,0.1,3.4e-12,5.6e-12,0.1,1.2e-11
29,Cr-55,3.497, m,M,0.1,4.2e-12,6.8e-12,0.01,1.2e-11
30,Cr-55,3.497, m,S,0.1,4.3e-12,6.9e-12,,
31,Cr-56,5.94, m,F,0.1,7.3e-12,1.3e-11,0.1,2.1e-11
32,Cr-56,5.94, m,M,0.1,1.1e-11,1.8e-11,0.01,2.1e-11
33,Cr-56,5.94, m,S,0.1,1.1e-11,1.8e-11,,
34,Mn-57,1.42333, m,F,0.1,1.6e-12,2.7e-12,0.1,5.1e-12
35,Mn-57,1.42333, m,M,0.1,1.8e-12,3e-12,,
36,Mn-58m,1.08666, m,F,0.1,1.9e-12,3.2e-12,0.1,7e-12
37,Mn-58m,1.08666, m,M,0.1,2.1e-12,3.4e-12,,
38,Fe-53,8.51, m,F,0.1,8.6e-12,1.4e-11,0.1,3e-11
39,Fe-53,8.51, m,M,0.1,1.2e-11,1.9e-11,,
40,Co-62,1.50, m,M,0.1,2.5e-12,4.1e-12,0.1,8.6e-12
41,Co-62,1.50, m,S,0.05,2.5e-12,4.2e-12,0.05,8.6e-12
42,Cu-62,9.74, m,F,0.5,9.5e-12,1.6e-11,0.5,3.7e-11
43,Cu-62,9.74, m,M,0.5,1.3e-11,2.2e-11,,
44,S,0.5,1.4E-11,2.3E-11  ,,,,,
45,Cu-66,5.088,m,F,0.5,4.6e-12,7.5e-12,0.5,1.6e-11
46,M,0.5,6.0E-12,9.8E-12  ,,,,,
47,S,0.5,6.2E-12,1.0E-11  ,,,,,
48,As-68,2.52666,m,M,0.5,5.9e-12,9.6e-12,0.5,1.9e-11
49,As-79,9.01,m,M,0.5,1.3e-11,2.1e-11,0.5,2.4e-11
50,Se-71,4.74,m,F,0.8,6.4e-12,1.1e-11,0.8,2.3e-11
51,M,0.8,8.2E-12,1.3E-11,0.05,2.3e-11,,,
52,Se-72,8.40,d,F,0.8,2e-09,2.8e-09,0.8,5.1e-09
53,M,0.8,3.6E-09,3.9E-09,0.05,2.6e-09,,,
54,Se-79m,3.92,m,F,0.8,1.9e-11,3.2e-11,0.8,1e-11
55,M,0.8,2.4E-11,4.0E-11,0.05,1e-11,,,
56,Br-77m,4.28,m,F,1.0,2.6e-11,4.3e-11,1.0,1.3e-11
57,M,1,3.3E-11,5.5E-11  ,,,,,
58,Br-78,6.46,m,F,1.0,6.4e-12,1.1e-11,1.0,2.1e-11
59,M,1,8.4E-12,1.4E-11  ,,,,,
60,Br-82m,6.13,m,F,1.0,1.5e-11,2.4e-11,1.0,2.8e-11
61,M,1,2.3E-11,3.3E-11  ,,,,,
62,Br-84m,6.0,m,F,1.0,7.9e-11,1.4e-11,1.0,2.1e-11
63,M,1,1.0E-11,1.7E-11  ,,,,,
64,Rb-77,3.77,m,F,1.0,6.9e-11,1.1e-11,1.0,2.6e-11
65,Rb-78,17.66,m,F,1.0,2.1e-11,3.7e-11,1.0,7e-11
66,Rb-82,1.273,m,F,1.0,1.8e-11,2.9e-12,1.0,6.3e-11
67,Rb-84m,20.26,m,F,1.0,5.1e-11,8.9e-12,1.0,7.1e-11
68,Rb-86m,1.01,m,F,1.0,1.9e-11,3e-11,1.0,3.3e-11
69,Rb-90,2.63333,m,F,1.0,4.2e-12,6.8e-11,1.0,1.8e-11
70,Rb-90m,4.3,m,F,1.0,6.9e-11,6.9e-11,1.0,2.3e-11
71,Y-83,7.08,m,M,0.0001,1.2e-11,2e-11,0.0001,3.2e-11
72,S,0.0001,1.2E-11,2.0E-11  ,,,,,
73,Y-83m,2.85,m,M,0.0001,5.2e-11,8.4e-12,0.0001,1.4e-11
74,S,0.0001,5.3E-11,8.6E-12  ,,,,,
75,Y-84m,40,m,M,0.0001,6e-11,1e-11,0.0001,1.2e-10
76,S,0.0001,6.2E-11,1.0E-11  ,,,,,
77,Y-85,2.68,h,M,0.0001,9.5e-11,1.5e-10,0.0001,1.9e-10
78,S,0.0001,9.9E-11,1.6E-10  ,,,,,
79,Y-85m,4.86,h,M,0.0001,1.7e-10,2.6e-11,0.0001,3.8e-11
80,S,0.0001,1.8E-11,2.7E-11  ,,,,,
81,Y-87m,13.37,h,M,0.0001,1.4e-10,1.9e-10,0.0001,2.2e-10
82,S,0.0001,1.1E-10,2.0E-10  ,,,,,
83,Zr-85,7.86,m,F,0.002,1.1e-11,1.9e-11,0.002,4.3e-11
84,M,0.002,1.6E-11,2.6E-11  ,,,,,
85,S,0.002,1.7E-11,2.7E-11  ,,,,,
86,Zr-87,1.68,h,F,0.002,4.7e-11,8.3e-11,0.002,2e-10
87,M,0.002,9.0E-11,1.4E-10  ,,,,,
88,S,0.002,9.5E-11,1.1E-10  ,,,,,
89,Zr-89m,4.18,m,F,0.002,1e-11,1.8e-11,0.002,1.9e-12
90,M,0.002,1.0E-12,2.2E-12  ,,,,,
91,S,0.002,1.0E-12,2.2E-11  ,,,,,
92,Nb-88m,7.8,m,M,0.01,1.7e-11,2.8e-11,0.01,4.2e-11
93,S,0.01,1.7E-11,2.8E-11  ,,,,,
94,Nb-91,6.8E+2,y,M,0.01,2.8e-10,1.9e-10,0.01,4.6e-11
95,S,0.01,1.7E-09,1.0E-09  ,,,,,
96,Nb-91m,60.86,d,M,0.01,3.2e-09,2.8e-09,0.01,4.1e-10
97,S,0.01,3.9E-09,3.4E-09  ,,,,,
98,Nb-92,3.47E+7,y,M,0.01,5e-09,3.4e-09,0.01,1e-09
99,S,0.01,2.5E-08,1.5E-08  ,,,,,
100,Nb-92m,10.15,d,M,0.01,4.3e-11,5.4e-10,0.01,5e-11
101,S,0.01,4.4E-11,5.4E-10  ,,,,,
102,Nb-94m,6.26,m,M,0.01,3e-11,4.7e-11,0.01,7.1e-13
103,S,0.01,3.4E-11,4.8E-11  ,,,,,
104,Mo-91,15.49,m,F,0.8,1.4e-11,2.3e-11,0.8,6e-11
105,S,0.05,2.2E-11,3.5E-11,0.05,6.1e-11,,,
106,Mo-102,11.3,m,F,0.8,1.6e-11,2.7e-11,0.8,6.9e-11
107,S,0.05,2.6E-11,4.2E-11,0.05,6.9e-11,,,
108,Tc-102m,4.35,m,F,0.8,5.9e-12,1e-11,0.8,1.4e-11
109,M,0.8,7.1E-11,1.2E-11  ,,,,,
110,Ru-95,1.643,h,F,0.05,2.8e-11,5.3e-11,0.05,6.3e-11
111,M,0.05,3.8E-11,6.6E-11  ,,,,,
112,S,0.05,3.9E-11,6.7E-11  ,,,,,
113,Rh-97,30.7,m,F,0.05,1.6e-11,2.8e-11,0.05,4.9e-11
114,M,0.05,2.4E-11,4.0E-11  ,,,,,
115,S,0.05,2.5E-11,4.2E-11  ,,,,,
116,Rh-97m,46.2,m,F,0.05,2e-11,3.7e-11,0.05,4.8e-11
117,M,0.05,2.8E-11,4.9E-11  ,,,,,
118,S,0.05,2.9E-11,5.0E-11  ,,,,,
119,Rh-98,8.7,m,F,0.05,9.9e-11,1.7e-11,0.05,3.7e-11
120,M,0.05,1.3E-11,2.2E-11  ,,,,,
121,S,0.05,1.4E-11,2.3E-11  ,,,,,
122,Rh-100m,4.6,m,F,0.05,2e-11,3e-12,0.05,5e-12
123,M,0.05,2.5E-12,4.0E-12  ,,,,,
124,S,0.05,2.6E-11,4.1E-11  ,,,,,
125,Pd-98,17.7,m,F,0.005,1.7e-11,3e-11,0.005,6.3e-11
126,M,0.005,2.8E-11,4.6E-11  ,,,,,
127,S,0.005,2.9E-11,4.7E-11  ,,,,,
128,Pd-99,21.4,m,F,0.005,1.3e-11,2.3e-11,0.005,3.6e-11
129,M,0.005,2.0E-11,3.0E-11  ,,,,,
130,S,0.005,2.0E-11,3.4E-11  ,,,,,
131,Pd-109m,4.69,m,F,0.005,2.8e-11,4.9e-12,0.005,4.5e-11
132,M,0.005,4.8E-11,7.4E-11  ,,,,,
