Nuclide,Chemical Form,T½,e (Sv/Bq)
H-3,Organically bound tritium,12.35 y,4.1E-11
H-3,Tritium gas,,1.8E-15
H-3,Tritiated methane,,1.8E-13
H-3,Tritiated water,,1.8E-11
C-11,CO2,20.38 m,2.2E-12
C-11,CO,,1.2E-12
C-11,Methane,,2.7E-14
C-11,Organic gases/vapours,,3.2E-12
C-14,CO2,5730 y,6.5E-12
C-14,CO,,8.0E-13
C-14,Methane,,2.9E-12
C-14,Organic gases/vapours,,5.8E-10
S-35,dioxide,87.44 d,1.2E-10
Ni-56,carbonyl,6.10 d,1.2E-09
Ni-57,carbonyl,36.08 h,5.6E-10
Ni-59,carbonyl,7.5E4 y,8.3E-10
Ni-63,carbonyl,96 y,2.0E-09
Ni-65,carbonyl,2.520 h,3.6E-10
Ni-66,carbonyl,54.6 h,1.6E09
Ru-94,tetroxide,51.8 m,5.6E-11
Ru-97,tetroxide,2.9 d,1.2E-10
Ru-103,tetroxide,39.28 d,1.1E-09
Ru-105,tetroxide,4.44 h,1.8E-10
Ru-106,tetroxide,368.2 d,1.8E-08
Te-116,vapour,2.49 h,8.7E-11
Te-121,vapour,17 d,5.1E-10
Te-121m,vapour,154 d,5.5E-09
Te-123,vapour,1E13 y,1.2E-08
Te-123m,vapour,119.7 d,2.9E-09
Te-125m,vapour,58 d,1.5E-09
Te-127,vapour,9.35 h,7.7E-11
Te-127m,vapour,109 d,4.6E-09
Te-129,vapour,69.6 m,3.7E-11
Te-129m,vapour,33.6 d,3.7E-09
Te-131,vapour,25.0 m,6.8E-11
Te-131m,vapour,30 h,2.4E-09
Te-132,vapour,78.2 h,5.1E-09
Te-133,vapour,12.45 m,5.6E-11
Te-133m,vapour,55.4 m,2.2E-10
Te-134,vapour,41.8 m,8.4E-11
I-120,CH3I,81.0 m,2.0E-10
I-120,I2,,3.0E-10
I-120m,CH3I,53 m,1.0E-10
I-120m,I2,,1.8E-10
I-121,CH3I,2.12 h,5.6E-11
I-121,I2,,8.6E-11
I-123,CH3I,13.2 h,1.5E-10
I-123,I2,,2.1E-10
I-124,CH3I,4.18 d,9.2E-09
I-124,I2,,1.2E-08
I-125,CH3I,60.14 d,1.1E-08
I-125,I2,,1.4E-08
I-126,CH3I,13.02 d,2.0E-08
I-126,I2,,2.6E-08
I-128,CH3I,24.99 m,1.3E-11
I-128,I2,,6.5E-11
I-129,CH3I,1.57E7 y,7.4E-08
I-129,I2,,9.6E-08
I-130,CH3I,12.36 h,1.4E-09
I-130,I2,,1.9E-09
I-131,CH3I,8.04 d,1.5E-08
I-131,I2,,2.0E-08
I-132,CH3I,2.30 h,1.9E-10
I-132,I2,,3.1E-10
I-132m,CH3I,83.6 m,1.6E-10
I-132m,I2,,2.7E-10
I-133,CH3I,20.8 h,3.1E-09
I-133,I2,,4.0E-09
I-134,CH3I,52.6 m,5.0E-11
I-134,I2,,1.5E-10
I-135,CH3I,6.61 h,6.8E-10
I-135,I2,,9.2E-10
Hg-193,vapour,3.5 h,1.1E-09
Hg-193m,vapour,11.1 h,3.1E-09
Hg-194,vapour,260 y,4.0E-08
Hg-195,vapour,9.9 h,1.4E-09
Hg-195m,vapour,41.6 h,8.2E-09
Hg-197,vapour,64.1 h,4.4E-09
Hg-197m,vapour,23.8 h,5.8E-09
Hg-199m,vapour,42.6 m,1.8E-10
Hg-203,vapour,46.60 d,7.0E-09
